metric,baseline,bayesian,delta,relative_delta_pct
accuracy,0.6664388243335612,0.7081339712918661,0.041695146958304896,6.2564102564102635
balanced_threshold_accuracy,,0.539921231650555,,
balanced_threshold_f1,,0.47858644730532296,,
balanced_threshold_kappa,,0.1585769062811906,,
balanced_threshold_optimized,,1.0,,
balanced_threshold_precision,,0.3489698208618,,
balanced_threshold_recall,,0.7613849765258216,,
balanced_threshold_sample_size,,30723.0,,
balanced_threshold_used,,0.21150000000000002,,
brier,,0.1954661688761722,,
f1,0.6073262318951643,0.4750441996464028,-0.1322820322487615,-21.78105033203898
false_alarm_rate,0.43476106832410033,0.15601495293428816,-0.2787461153898122,-64.11478296902517
kappa,0.3731594514223423,0.13378141936332666,-0.23937803205901564,-64.14899345215494
lead_time_mean,1.3221315410465675,0.5391262602016322,-0.7830052808449353,-59.22294843863472
lead_time_utility,1.2453192510801727,0.4675948151704273,-0.7777244359097455,-62.451811873554355
pr_auc,0.7941454657332523,0.44048320078649483,-0.35366226494675745,-44.533688122265254
precision,0.4508476504721811,0.3343863679877465,-0.1164612824844346,-25.831626795096422
recall,0.9301643192488263,0.8199530516431925,-0.11021126760563371,-11.848580441640369
roc_auc,0.8910859839183429,0.6691782546832588,-0.22190772923508417,-24.903065836508464
threshold_used,,0.16399999999999998,,
