fold,model,rows_train,rows_valid,accuracy,brier,positive_rate
1,rule_based_threshold,15288,7791,0.732383519445514,0.26761648055448595,0.5168784494930048
1,logistic_regression,15288,7791,0.686561417019638,0.24534827370747342,0.13797077434306013
1,poisson_regression,15288,7791,0.7302015145680913,0.17526070717417938,0.24239158181289763
1,random_forest,15288,7791,0.767552303940444,0.16272980318112637,0.3042931454601642
1,xgboost,15288,7791,0.7760236169939674,0.15594500364886962,0.3319476778737215
2,rule_based_threshold,23079,7644,0.7417582417582418,0.25824175824175827,0.4177132391418106
2,logistic_regression,23079,7644,0.7709314495028781,0.19466355063802868,0.1379698854790682
2,poisson_regression,23079,7644,0.815803244374673,0.1296814875461493,0.1764494140365871
2,random_forest,23079,7644,0.8283621140763998,0.12435159434739101,0.22329872201597936
2,xgboost,23079,7644,0.8443223443223443,0.11193488936718257,0.22361611643129173
3,rule_based_threshold,30723,7644,0.7464678178963893,0.25353218210361067,0.47422815279958136
3,logistic_regression,30723,7644,0.7083987441130298,0.24107371912198297,0.13796908417078196
3,poisson_regression,30723,7644,0.7752485609628467,0.14838783368868194,0.2096590313968828
3,random_forest,30723,7644,0.7999738356881214,0.13985496770255193,0.24077232510730145
3,xgboost,30723,7644,0.8210361067503925,0.12503635502571042,0.27032430300282917
4,rule_based_threshold,30723,7644,0.8214285714285714,0.17857142857142858,0.3613291470434328
4,logistic_regression,30723,7644,0.7520931449502878,0.2041441432347437,0.13796870361951197
4,poisson_regression,30723,7644,0.8137100994243851,0.12987435457251506,0.17350463461557775
4,random_forest,30723,7644,0.8226059654631083,0.1271729214800012,0.2134970367509284
4,xgboost,30723,7644,0.8509942438513867,0.10897756711196974,0.21663747671557848
