parameter,r_hat,ess_bulk
alpha_district|Aimorés,1.4650119450532204,6.030422131347411
alpha_district|Alagoa Grande,1.1522126176448961,16.195318110590964
alpha_district|Alagoinhas,1.0867237335114501,25.42309368123607
alpha_district|Amambai,1.0522636391811924,30.12877168337056
alpha_district|Ananindeua,1.149285012334071,17.916779080219946
alpha_district|Aracaju,1.3824581469899588,7.291611628320558
alpha_district|Aracati,1.5552098624259039,5.73583454028483
alpha_district|Araguaína,1.0399781774866448,43.17219927137231
alpha_district|Araripina,1.1710343201897575,13.803556366033908
alpha_district|Açu,1.0915924922324525,23.527009292689257
alpha_district|Balneário Camboriú,1.031571439551088,57.61764415210286
alpha_district|Balsas,1.031217377052353,68.90063811763694
alpha_district|Barbalha,1.5045485359580346,6.018406931124003
alpha_district|Barreiras,1.0812289855155575,27.83535904904057
alpha_district|Belford Roxo,1.3813911510394088,7.095526098248611
alpha_district|Belo Horizonte,1.4503821334573759,6.151267906823421
alpha_district|Boa Vista,1.010094331187071,150.99045314941102
alpha_district|Brasília,1.0211995088965735,94.93532922001266
alpha_district|Brejo Santo,1.5235723066233204,5.857142475124311
alpha_district|Cabo Frio,1.385246814963094,7.048865361984081
alpha_district|Cabo de Santo Agostinho,1.2095411711081796,10.922752071775216
alpha_district|Caicó,1.0882847080757156,24.701298714588333
alpha_district|Camaragibe,1.186534605235009,11.955505496466454
alpha_district|Camaçari,1.0864461817498587,24.462330188274397
alpha_district|Campina Grande,1.1439676684107112,17.037304208540267
alpha_district|Campinas,1.1909103466255113,12.423789719069793
alpha_district|Campo Grande,1.0555816364537836,29.413743272561643
alpha_district|Campo Novo do Parecis,1.020742157575409,57.145099800405646
alpha_district|Campos Sales,1.5111024877405708,6.007862054300998
alpha_district|Campos dos Goytacazes,1.3869402947232203,7.053150430594971
alpha_district|Caruaru,1.203343203822076,11.455603125681167
alpha_district|Cascavel,1.0705946183066275,53.946028573939984
alpha_district|Castanhal,1.1495764348852986,17.693505772582
alpha_district|Caucaia,1.5418177216547906,5.752316095805806
alpha_district|Cerejeiras,1.0268289600839737,61.04549824732157
alpha_district|Conceição do Coité,1.0763226208272796,29.014629144120693
alpha_district|Conselheiro Pena,1.4626658830275636,6.079490367984767
alpha_district|Coronel Fabriciano,1.4337182155787112,6.29079532914632
alpha_district|Corumbá,1.0650608177795018,28.94164553305769
alpha_district|Cuiabá,1.019980443871165,55.3794812446599
alpha_district|Estância,1.3919019173269909,7.1253860977701695
alpha_district|Feira de Santana,1.0803474588456559,26.297298276528366
alpha_district|Florianópolis,1.031124060043281,58.4655772021321
alpha_district|Fortaleza,1.5370521715257497,5.894262494694269
alpha_district|Foz do Iguaçu,1.0741667422551158,51.9120346432583
alpha_district|Garanhuns,1.1721632972589815,13.118372197396667
alpha_district|Goiânia,1.0446802865762883,109.67698990987756
alpha_district|Governador Valadares,1.4550975403962256,6.122077335686837
alpha_district|Gravatá,1.186619937048906,12.204034540536522
alpha_district|Guanambi,1.0812362100811237,27.99875540361824
alpha_district|Guarujá,1.172309349654317,13.33996466910813
alpha_district|Icapuí,1.5597889593086942,5.653301746794522
alpha_district|Icó,1.5128748943048689,6.038340671788556
alpha_district|Igarassu,1.1899223688014189,12.08165825179277
alpha_district|Ipatinga,1.4472596332815286,6.16588013853267
alpha_district|Ipojuca,1.1926844029673427,11.970127243496442
alpha_district|Irauçuba,1.5184848982206465,6.043540039912301
alpha_district|Itaberaba,1.0921419561401997,23.17564083274481
alpha_district|Itaboraí,1.3877547313598606,7.012130100781106
alpha_district|Itabuna,1.0827823268927792,25.778914349869293
alpha_district|Itaperuna,1.3870005661592595,7.027349578319005
alpha_district|Jaboatão dos Guararapes,1.1927371798567952,11.953149849877864
alpha_district|Ji-Paraná,1.0270312918970326,62.892619050697796
alpha_district|João Pessoa,1.1471259567894851,16.979709497848905
alpha_district|Juazeiro,1.091309630425608,22.788664557744664
alpha_district|Lauro de Freitas,1.0670836213722577,32.59905158606592
alpha_district|Macaíba,1.0974737946553497,21.997637099749742
alpha_district|Macaúbas,1.076631934426996,30.483624706478494
alpha_district|Maceió,1.0130207224660608,100.3018275802716
alpha_district|Manaus,1.0070551975235917,87.77129992715429
alpha_district|Mangaratiba,1.373752105971284,7.167913518637888
alpha_district|Maranguape,1.5303576542825252,5.872864672145791
alpha_district|Maricá,1.3860401884389197,7.017650395290919
alpha_district|Marituba,1.1533182289217039,17.438343525455345
alpha_district|Massapê,1.5155812961701762,5.97971811105589
alpha_district|Milagres,1.538738504418626,5.765527466316104
alpha_district|Montes Claros,1.4528474418750867,6.102993790588444
alpha_district|Mossoró,1.093561352281192,23.148396888401095
alpha_district|Natal,1.0891977677413391,24.21621154638831
alpha_district|Niterói,1.3751855935325143,7.202583521521171
alpha_district|Nossa Senhora do Socorro,1.3969075933621156,7.075591288602451
alpha_district|Nova Iguaçu,1.381087733982262,7.127101644441933
alpha_district|Ocara,1.5098529153651823,6.033801285898133
alpha_district|Olinda,1.1876603136481616,12.197587905793092
alpha_district|Palmares,1.19570299082064,11.659623488059761
alpha_district|Palmas,1.033101784455397,43.69043408247836
alpha_district|Parauapebas,1.1469732614186345,18.378734518514076
alpha_district|Parnamirim,1.0908524026427953,23.767399452298648
alpha_district|Paulista,1.2030000946074229,11.340320989473542
alpha_district|Paulo Afonso,1.0886599267953834,25.215313736911792
alpha_district|Petrolina,1.1785947872639346,12.839587477449864
alpha_district|Picos,1.0615025449808566,46.889413118645706
alpha_district|Porciúncula,1.385139815848406,7.045834880416211
alpha_district|Porto Nacional,1.0418850787436966,43.45343194859479
alpha_district|Porto Seguro,1.0815629416153871,25.441663050161786
alpha_district|Porto Velho,1.0275775754737178,61.55371004167769
alpha_district|Queimadas,1.1525715928396745,16.364490949080466
alpha_district|Queimados,1.3676014855949634,7.271375965280492
alpha_district|Quipapá,1.1870498393271542,12.399991719453656
alpha_district|Quixeramobim,1.5102157920753754,6.152863908252229
alpha_district|Quixeré,1.5254403122838673,5.913115759488143
alpha_district|Recife,1.2098964749484753,11.070175095974317
alpha_district|Reriutaba,1.5359753928695672,5.791636663855634
alpha_district|Resplendor,1.4620074903927465,6.065233474562216
alpha_district|Riachão do Jacuípe,1.0806488503351979,26.067104973544986
alpha_district|Ribeira do Pombal,1.0694674163253293,33.64421840618535
alpha_district|Ribeirão Preto,1.1818640674340732,12.617678679070591
alpha_district|Ribeirão das Neves,1.441293292141805,6.213874291168768
alpha_district|Rio de Janeiro,1.384664412306734,7.064104509993565
alpha_district|Russas,1.5575902379520121,5.669250219088836
alpha_district|Salgueiro,1.205406983964941,11.432731903461496
alpha_district|Salvador,1.0821206734325666,25.28115724298486
alpha_district|Santa Cruz,1.0854195744710515,25.141520042164363
alpha_district|Santa Cruz do Capibaribe,1.1734399446318007,12.859274565515975
alpha_district|Santarém,1.1552438363251039,17.17292387082726
alpha_district|Santo Antônio de Jesus,1.0846593380008738,26.055281718686395
alpha_district|Santo Antônio de Pádua,1.3844230400365412,7.081944990960273
alpha_district|Santos,1.1761879625469915,13.641734344479303
alpha_district|Saquarema,1.386907578300293,7.001203860723877
alpha_district|Seabra,1.0818398456079885,26.834434104499238
alpha_district|Simão Dias,1.3702343827041243,7.4867945802974685
alpha_district|Simões Filho,1.079982359560916,26.64538914520537
alpha_district|Sobral,1.546339273256189,5.755413831730146
alpha_district|Sorocaba,1.1768614014252106,12.900728528862912
alpha_district|São Carlos,1.1826215275124718,12.74834099956861
alpha_district|São Cristóvão,1.3848247466354993,7.23906751210826
alpha_district|São Desidério,1.0823235872876247,27.671281999998065
alpha_district|São Francisco do Conde,1.0784640820206661,26.979396510346202
alpha_district|São Gonçalo,1.3872338035080822,7.022692040808497
alpha_district|São José do Rio Preto,1.1851867966124734,12.649086620498789
alpha_district|São José dos Campos,1.1810689378549204,12.868443166816473
alpha_district|São João de Meriti,1.3780662256569345,7.106745586844818
alpha_district|São Luís,1.0325988107332038,64.54453935656126
alpha_district|São Paulo,1.1842989933942167,12.685843616638538
alpha_district|Teixeira de Freitas,1.0867010425435968,24.02802304264468
alpha_district|Teresina,1.0679259877810803,45.16574619610843
alpha_district|Teófilo Otoni,1.4558378773281713,6.113695811853078
alpha_district|Três Lagoas,1.0578284249456862,28.726292379521126
alpha_district|Uberaba,1.4495497874487957,6.147947071874635
alpha_district|Uberlândia,1.449175004669012,6.155347400451851
alpha_district|Ubá,1.4488628445411298,6.159425984315494
alpha_district|Uibaí,1.0653991837838919,34.65715380630577
alpha_district|Valente,1.081786009159146,26.4558608858906
alpha_district|Vilhena,1.0238260654693736,62.9185613738565
alpha_district|Vitória,1.0135084864109247,154.9118047247151
alpha_district|Vitória da Conquista,1.0872474683238496,25.48087883100474
alpha_district|Volta Redonda,1.3696884627310633,7.246557643368427
alpha_nb,1.0106079677642055,626.2766630835598
alpha_raw|Aimorés,1.887981598319626,4.368710302617728
alpha_raw|Alagoa Grande,1.3336016076969424,7.750039630471545
alpha_raw|Alagoinhas,1.2843871922856227,8.595694347873302
alpha_raw|Amambai,1.0783603054823803,28.820174310657713
alpha_raw|Ananindeua,1.2254201103463578,10.349495459716493
alpha_raw|Aracaju,1.5565949577963785,5.808677663027711
alpha_raw|Aracati,1.4776310137357702,6.152788502247471
alpha_raw|Araguaína,1.0821504576899814,43.45333545436595
alpha_raw|Araripina,1.1143618184798016,22.447253842192488
alpha_raw|Açu,1.092680063445266,22.591778188578413
