parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,-1.146,0.179,-1.493,-0.826,0.006,0.002,945.0,2349.0,1.0
alpha_raw[Aimorés],-0.948,0.247,-1.39,-0.476,0.01,0.005,671.0,1469.0,1.0
alpha_raw[Alagoa Grande],-1.762,0.374,-2.455,-1.06,0.008,0.005,2106.0,3217.0,1.0
alpha_raw[Alagoinhas],0.331,0.18,-0.03,0.642,0.008,0.004,452.0,1012.0,1.01
alpha_raw[Amambai],-0.364,0.313,-0.953,0.211,0.007,0.004,1748.0,2941.0,1.0
alpha_raw[Ananindeua],0.427,0.313,-0.138,1.033,0.008,0.004,1697.0,2825.0,1.0
alpha_raw[Aracaju],1.294,0.291,0.749,1.842,0.008,0.004,1417.0,2335.0,1.0
alpha_raw[Aracati],-0.373,0.215,-0.757,0.054,0.009,0.005,517.0,972.0,1.01
alpha_raw[Araguaína],0.401,0.341,-0.196,1.078,0.007,0.004,2154.0,3324.0,1.0
alpha_raw[Araripina],-1.267,0.223,-1.681,-0.848,0.009,0.004,598.0,1249.0,1.0
alpha_raw[Açu],0.049,0.267,-0.468,0.538,0.008,0.004,1221.0,1884.0,1.0
alpha_raw[Balneário Camboriú],-0.745,0.437,-1.548,0.108,0.007,0.006,3751.0,4080.0,1.0
alpha_raw[Balsas],-0.79,0.408,-1.549,-0.018,0.007,0.005,3416.0,4278.0,1.0
alpha_raw[Barbalha],-1.097,0.219,-1.52,-0.695,0.01,0.005,512.0,1040.0,1.01
alpha_raw[Barreiras],-0.104,0.201,-0.478,0.267,0.009,0.004,499.0,1035.0,1.01
alpha_raw[Belford Roxo],-1.281,0.22,-1.695,-0.878,0.01,0.004,521.0,1174.0,1.01
alpha_raw[Belo Horizonte],0.337,0.246,-0.107,0.805,0.01,0.005,658.0,1310.0,1.0
alpha_raw[Boa Vista],1.988,0.382,1.289,2.706,0.006,0.004,4000.0,4452.0,1.0
alpha_raw[Brasília],1.966,0.396,1.225,2.707,0.006,0.005,4084.0,4602.0,1.0
alpha_raw[Brejo Santo],-0.481,0.215,-0.881,-0.078,0.009,0.005,538.0,1196.0,1.01
alpha_raw[Cabo Frio],-0.539,0.212,-0.94,-0.153,0.01,0.004,496.0,1222.0,1.01
alpha_raw[Cabo de Santo Agostinho],0.415,0.212,0.009,0.8,0.009,0.004,593.0,1280.0,1.0
alpha_raw[Caicó],-0.144,0.271,-0.655,0.364,0.008,0.004,1237.0,2108.0,1.0
alpha_raw[Camaragibe],-0.684,0.212,-1.056,-0.271,0.009,0.004,580.0,1126.0,1.0
alpha_raw[Camaçari],1.81,0.177,1.476,2.136,0.008,0.004,496.0,985.0,1.01
alpha_raw[Campina Grande],-0.405,0.362,-1.079,0.288,0.007,0.005,2340.0,3474.0,1.0
alpha_raw[Campinas],0.346,0.231,-0.081,0.785,0.008,0.004,938.0,1736.0,1.0
alpha_raw[Campo Grande],1.325,0.313,0.771,1.934,0.008,0.004,1648.0,2835.0,1.0
alpha_raw[Campo Novo do Parecis],-0.558,0.42,-1.345,0.224,0.007,0.005,3727.0,4019.0,1.0
alpha_raw[Campos Sales],-0.801,0.217,-1.183,-0.374,0.009,0.005,535.0,1018.0,1.01
alpha_raw[Campos dos Goytacazes],0.487,0.221,0.08,0.91,0.01,0.005,456.0,1010.0,1.01
alpha_raw[Caruaru],0.29,0.211,-0.107,0.667,0.009,0.004,586.0,1387.0,1.0
alpha_raw[Cascavel],-0.404,0.437,-1.232,0.424,0.007,0.005,3870.0,3813.0,1.0
alpha_raw[Castanhal],-0.607,0.315,-1.21,-0.026,0.008,0.004,1527.0,2945.0,1.0
alpha_raw[Caucaia],0.362,0.226,-0.08,0.776,0.009,0.005,576.0,1118.0,1.01
alpha_raw[Cerejeiras],-1.12,0.351,-1.778,-0.449,0.008,0.004,2167.0,3166.0,1.0
alpha_raw[Conceição do Coité],0.93,0.17,0.612,1.247,0.008,0.004,438.0,1001.0,1.01
alpha_raw[Conselheiro Pena],-1.258,0.252,-1.708,-0.791,0.01,0.005,648.0,1183.0,1.0
alpha_raw[Coronel Fabriciano],0.834,0.255,0.377,1.317,0.01,0.006,642.0,1158.0,1.0
alpha_raw[Corumbá],0.238,0.309,-0.329,0.815,0.007,0.004,1808.0,3038.0,1.0
alpha_raw[Cuiabá],0.071,0.416,-0.667,0.898,0.007,0.005,3767.0,4044.0,1.0
alpha_raw[Estância],0.009,0.288,-0.519,0.56,0.008,0.004,1450.0,2263.0,1.0
alpha_raw[Feira de Santana],2.372,0.189,2.002,2.708,0.008,0.004,522.0,1060.0,1.01
alpha_raw[Florianópolis],-0.53,0.435,-1.349,0.296,0.007,0.006,3815.0,4120.0,1.0
alpha_raw[Fortaleza],2.083,0.289,1.545,2.633,0.012,0.007,608.0,1011.0,1.01
alpha_raw[Foz do Iguaçu],-0.828,0.438,-1.613,0.052,0.007,0.005,3918.0,3770.0,1.0
alpha_raw[Garanhuns],-0.681,0.211,-1.051,-0.272,0.009,0.004,598.0,1259.0,1.0
alpha_raw[Goiânia],0.891,0.41,0.142,1.675,0.006,0.005,5211.0,4054.0,1.0
alpha_raw[Governador Valadares],0.609,0.251,0.149,1.083,0.01,0.005,649.0,1196.0,1.0
alpha_raw[Gravatá],-1.443,0.225,-1.863,-1.029,0.009,0.004,601.0,1347.0,1.0
alpha_raw[Guanambi],-0.45,0.208,-0.851,-0.064,0.009,0.004,484.0,1171.0,1.01
alpha_raw[Guarujá],-0.711,0.249,-1.18,-0.232,0.008,0.004,926.0,1820.0,1.0
alpha_raw[Icapuí],-1.021,0.219,-1.443,-0.622,0.01,0.005,510.0,1012.0,1.01
alpha_raw[Icó],-0.85,0.217,-1.242,-0.426,0.01,0.005,511.0,1108.0,1.01
alpha_raw[Igarassu],-0.749,0.211,-1.137,-0.347,0.009,0.004,590.0,1165.0,1.0
alpha_raw[Ipatinga],0.809,0.255,0.332,1.277,0.01,0.006,648.0,1055.0,1.0
alpha_raw[Ipojuca],0.705,0.217,0.316,1.123,0.009,0.004,591.0,1297.0,1.0
alpha_raw[Irauçuba],-1.307,0.218,-1.705,-0.9,0.009,0.005,531.0,1037.0,1.01
alpha_raw[Itaberaba],0.471,0.178,0.149,0.821,0.008,0.004,454.0,912.0,1.01
alpha_raw[Itaboraí],0.221,0.214,-0.168,0.627,0.01,0.004,473.0,1174.0,1.01
alpha_raw[Itabuna],1.912,0.178,1.579,2.232,0.008,0.004,493.0,1217.0,1.0
alpha_raw[Itaperuna],-0.306,0.211,-0.692,0.088,0.01,0.004,494.0,1293.0,1.01
alpha_raw[Jaboatão dos Guararapes],0.001,0.208,-0.374,0.393,0.009,0.004,591.0,1101.0,1.0
alpha_raw[Ji-Paraná],-0.463,0.343,-1.099,0.186,0.007,0.005,2154.0,3039.0,1.0
alpha_raw[João Pessoa],0.53,0.369,-0.195,1.204,0.008,0.005,2195.0,3099.0,1.0
alpha_raw[Juazeiro],0.277,0.185,-0.052,0.636,0.009,0.004,434.0,1048.0,1.01
alpha_raw[Lauro de Freitas],0.699,0.172,0.361,1.01,0.008,0.004,448.0,903.0,1.01
alpha_raw[Macaíba],0.024,0.269,-0.474,0.526,0.008,0.005,1233.0,1986.0,1.0
alpha_raw[Macaúbas],-0.909,0.233,-1.345,-0.473,0.01,0.004,539.0,1395.0,1.01
alpha_raw[Maceió],0.255,0.475,-0.642,1.152,0.006,0.006,5468.0,4143.0,1.0
alpha_raw[Manaus],0.83,0.415,0.046,1.596,0.005,0.005,6088.0,4449.0,1.0
alpha_raw[Mangaratiba],-1.457,0.22,-1.873,-1.059,0.01,0.004,529.0,1317.0,1.01
alpha_raw[Maranguape],-0.257,0.218,-0.663,0.153,0.009,0.005,530.0,1014.0,1.01
alpha_raw[Maricá],-0.487,0.21,-0.891,-0.105,0.01,0.004,480.0,1266.0,1.01
