parameter,r_hat,ess_bulk
alpha_district|Aimorés,1.0004304151273973,1179.556817734982
alpha_district|Alagoa Grande,1.001519416917897,2371.9133414550715
alpha_district|Alagoinhas,1.0061408653561092,675.3825286073111
alpha_district|Amambai,1.0006655137913065,2793.2248437437947
alpha_district|Ananindeua,1.0009120743786253,2479.148191683656
alpha_district|Aracaju,1.001313587994138,2793.0005111353976
alpha_district|Aracati,1.00704113087435,795.0996156047164
alpha_district|Araguaína,1.0015436768319643,3859.1329469907046
alpha_district|Araripina,1.003651861305527,802.4987365032817
alpha_district|Açu,1.0024829588044029,1985.956028445817
alpha_district|Balneário Camboriú,1.0011530488016624,4825.602855872949
alpha_district|Balsas,1.0008422885556436,5392.788421203271
alpha_district|Barbalha,1.006143683214866,822.6417551296576
alpha_district|Barreiras,1.0055054495883426,689.3048968014818
alpha_district|Belford Roxo,1.0125924024025577,739.2809439839708
alpha_district|Belo Horizonte,1.0002034374960473,1161.86839910988
alpha_district|Boa Vista,1.0018239907819888,9142.601521127315
alpha_district|Brasília,1.0004709412582833,8225.985432882399
alpha_district|Brejo Santo,1.0067506883118833,805.9053551072848
alpha_district|Cabo Frio,1.0120738779548755,692.0787863174306
alpha_district|Cabo de Santo Agostinho,1.004018403078965,790.93402056737
alpha_district|Caicó,1.002147822130435,1987.806268317711
alpha_district|Camaragibe,1.0035611249692595,772.8358837779771
alpha_district|Camaçari,1.0051037934227747,691.0972190884169
alpha_district|Campina Grande,1.001672363756038,2376.63887704616
alpha_district|Campinas,1.0005972409780857,1703.9105498910046
alpha_district|Campo Grande,1.0006765419946615,2746.4225702154868
alpha_district|Campo Novo do Parecis,1.0012468310061877,5619.166117833715
alpha_district|Campos Sales,1.0072520725329448,797.1361002474657
alpha_district|Campos dos Goytacazes,1.0122030801617212,650.6145789083018
alpha_district|Caruaru,1.0036174159499833,780.4739063610875
alpha_district|Cascavel,1.00063195984332,4344.078309795081
alpha_district|Castanhal,1.0009540321307655,2425.7698832459737
